Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2016-2-15,"Broccoli, raw","3.00 1 floweret",31.62,0.00,0.00,83.05,0.07,0.00,0.11,0.59,0.53,0.16,58.59,1667.03,82.96,0.00,0.73,94.49,43.71,0.05,0.68,19.53,0.20,61.38,293.88,2.33,30.69,0.38,6.18,2.23,0.00,1.58,0.34,0.00,0.01,,,0.04,0.04,,0.03,0.05,0.07,0.12,0.13,0.04,0.11,2.62,0.08,0.03,0.05,0.12
2016-2-15,"Feta cheese","0.53 cup, crumbled",211.20,0.00,0.00,44.18,0.12,1.35,0.68,0.79,0.77,0.34,25.60,337.60,0.00,12.80,0.14,1.44,394.40,0.03,0.52,15.20,0.02,269.60,49.60,12.00,733.60,2.30,3.27,0.00,0.00,3.27,17.02,71.20,3.70,0.19,0.26,0.47,11.96,0.84,0.07,0.32,0.64,1.12,0.98,0.29,0.54,11.37,0.51,0.16,0.53,0.85
2016-2-16,"Vitamin D3","1.00 softgel",2.00,,,,,,,,,,,,,400.00,,,,,,,,,,,,,0.01,,,,0.18,,,,,,,,,,,,,,,0.09,,,,
2016-2-16,"Polivit B","1.00 Pill",,,,,5.00,1.00,5.00,25.00,,2.00,,,,,,,5.00,,,,,,,,,,0.11,,,,0.00,,,,,,,,,,,,,,,0.04,,,,
2016-2-16,"Magnezijum","1.00 pill",1.00,,,,,,,,,,,,,,,,,,,200.00,,,,,,,0.20,,,,0.01,,,,,,,,,,,,,,,0.01,,,,
2016-2-16,"Pomegranates, raw","1.00 pomegranate (4"" dia)",234.06,,,219.76,0.19,,0.15,0.83,1.06,0.21,107.16,,28.76,,1.69,46.25,28.20,0.45,0.85,33.84,0.34,101.52,665.52,1.41,8.46,0.99,52.73,11.28,2.90,38.55,3.30,,0.26,,0.22,0.22,0.34,,,,,,,,,4.71,,,,
2016-2-16,"Subway Turkey Breast & Ham Sandwich with Veggies, no mayo","1.50 each - 6"" sub",493.02,0.00,0.00,232.32,0.78,0.54,0.49,11.65,1.61,0.55,124.76,849.20,18.03,60.58,0.86,22.98,352.75,0.31,5.29,84.29,1.55,455.44,636.51,56.54,1501.49,3.41,65.07,6.30,43.12,11.61,11.49,58.95,3.10,0.24,2.15,2.41,4.68,0.24,0.37,0.80,1.12,1.97,1.82,0.60,1.12,32.64,1.02,0.31,0.83,1.23
2016-2-16,"Chicken, broilers or fryers, breast, meat only, cooked, roasted","100.00 g",165.00,,,65.26,0.07,0.34,0.11,13.71,0.96,0.60,4.00,21.00,,5.00,0.27,0.30,15.00,0.05,1.04,29.00,0.02,228.00,256.00,27.60,74.00,1.00,,,,,3.57,85.00,1.24,0.07,0.59,0.77,1.01,,0.40,0.96,1.64,2.33,2.64,0.86,1.23,31.02,1.31,0.36,1.05,1.54
2016-2-16,"French fries, cooked from fresh","0.96 cup, whole pieces",291.18,0.00,0.00,42.87,0.17,0.00,0.03,2.28,0.89,0.47,15.67,5.22,12.88,0.00,1.41,33.08,14.16,0.29,0.55,34.83,0.25,69.65,571.17,7.86,388.53,0.47,34.84,3.57,27.51,1.48,16.17,0.00,3.65,1.10,8.21,9.31,2.55,0.09,0.04,0.07,0.12,0.18,0.18,0.05,0.13,2.98,0.11,0.05,0.11,0.17
2016-2-16,"Pineapple, fresh","2.00 slice - 3 1/2"" diameter x 3/4""",84.00,0.00,0.00,144.48,0.13,0.00,0.05,0.84,0.36,0.19,30.24,97.44,80.30,0.00,0.03,1.18,21.84,0.18,0.49,20.16,1.56,13.44,183.12,0.17,1.68,0.20,22.04,2.35,0.00,16.55,0.20,0.00,0.02,0.03,0.04,0.07,0.02,0.00,0.02,0.02,0.03,0.04,0.04,0.02,0.04,0.91,0.03,0.01,0.03,0.04
2016-2-16,"Chocolate mousse","0.67 cup",376.59,0.30,14.08,53.45,0.04,0.43,0.24,0.14,0.57,0.06,18.09,641.22,0.29,45.13,0.79,2.65,55.66,0.17,1.11,32.59,0.19,110.94,243.26,10.57,56.55,0.81,36.68,1.34,0.71,34.23,24.80,165.22,7.84,0.16,0.90,1.07,14.27,0.53,0.11,0.13,0.31,0.48,0.40,0.15,0.30,5.77,0.27,0.07,0.24,0.36
2016-2-16,"Ramen noodles, prepared from dehydrated or instant mix, plain","1.00 container - prepared",376.84,0.00,0.00,477.79,0.44,0.00,0.22,2.79,0.19,0.08,118.96,0.00,0.00,0.00,2.98,4.37,27.52,0.21,2.12,36.53,0.56,99.44,88.09,42.28,1595.80,0.90,51.57,2.91,41.76,2.91,14.11,0.00,5.17,0.44,3.83,4.27,3.75,0.04,0.19,0.23,0.38,0.74,0.23,0.11,0.49,10.07,0.34,0.14,0.19,0.44
2016-2-16,"Walnuts","1.37 tbsp, chopped",65.40,0.00,0.00,0.41,0.03,0.00,0.02,0.11,0.06,0.05,9.80,2.00,0.13,0.00,0.07,0.27,9.80,0.16,0.29,15.80,0.34,34.60,44.10,0.49,0.20,0.31,1.37,0.67,0.01,0.26,6.52,0.00,0.89,0.91,3.81,4.72,0.61,0.00,0.02,0.04,0.06,0.12,0.04,0.02,0.07,1.52,0.06,0.02,0.04,0.08
2016-2-17,"Vitamin D3","1.00 softgel",2.00,,,,,,,,,,,,,400.00,,,,,,,,,,,,,0.01,,,,0.18,,,,,,,,,,,,,,,0.09,,,,
2016-2-17,"Polivit B","1.00 Pill",,,,,5.00,1.00,5.00,25.00,,2.00,,,,,,,5.00,,,,,,,,,,0.11,,,,0.00,,,,,,,,,,,,,,,0.04,,,,
2016-2-17,"Kafa","1.00 full recipe",61.08,0.00,113.11,355.26,0.00,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,15.87,0.04,0.16,15.33,0.06,10.91,127.51,0.53,15.68,0.05,15.21,0.73,0.15,12.49,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.44,0.00,0.00,0.01,0.01
2016-2-17,"Magnezijum","1.00 pill",1.00,,,,,,,,,,,,,,,,,,,200.00,,,,,,,0.20,,,,0.01,,,,,,,,,,,,,,,0.01,,,,
2016-2-17,"Burek","250.00 g",750.00,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,,,,12.00,,,,,,,,,,,,,,,8.00,,,,
2016-2-17,"Chocolate milk, whole","0.80 cup",166.00,0.00,2.00,164.60,0.07,0.66,0.32,0.25,0.59,0.08,10.00,196.00,1.80,102.00,0.14,0.60,224.00,0.13,0.48,26.00,0.15,202.00,334.00,3.80,120.00,0.82,20.68,1.60,0.00,19.08,6.78,24.00,1.98,0.09,0.16,0.25,4.21,0.24,0.04,0.19,0.33,0.60,0.53,0.17,0.33,6.34,0.27,0.08,0.32,0.42
2016-2-17,"Subway Steak Omelet Sandwich","1.00 each - 6"" sub",423.73,0.00,0.00,125.38,0.40,1.52,0.70,6.87,1.72,0.41,95.69,432.09,0.27,84.11,0.98,6.49,279.01,0.16,4.40,52.19,0.94,390.64,396.84,54.24,1220.61,3.29,41.79,3.14,29.59,6.64,15.31,252.37,4.97,0.24,2.46,2.73,5.56,0.27,0.42,0.74,1.23,2.12,1.89,0.67,1.19,28.85,1.10,0.31,0.95,1.40
2016-2-17,"Pasta, dry, enriched","100.00 g",371.00,,,9.90,0.89,,0.40,7.18,0.43,0.14,237.00,,,,0.11,0.10,21.00,0.29,3.30,53.00,0.92,189.00,223.00,63.20,6.00,1.41,74.67,3.20,62.45,2.67,1.51,,0.17,0.02,0.54,0.56,0.28,,0.26,0.30,0.51,0.99,0.30,0.15,0.67,13.04,0.46,0.19,0.24,0.59
2016-2-17,"Yogurt, plain, whole milk","0.88 container - each 4 oz",61.00,0.00,0.00,87.90,0.03,0.37,0.14,0.08,0.39,0.03,7.00,99.00,0.50,2.00,0.09,0.21,121.00,0.01,0.05,12.00,0.00,95.00,155.00,2.20,46.00,0.59,4.66,0.00,0.00,4.66,3.25,13.00,0.89,0.03,0.07,0.09,2.10,0.07,0.03,0.09,0.19,0.35,0.31,0.10,0.19,3.47,0.14,0.02,0.18,0.29
2016-2-17,"Tuna, canned, light, oil pack, drained","0.65 can - each 5 oz net weight",158.40,0.00,0.00,47.86,0.03,1.76,0.10,9.92,0.30,0.09,4.00,61.60,0.00,215.20,0.70,35.20,10.40,0.06,1.11,24.80,0.01,248.80,165.60,60.80,332.80,0.72,0.00,0.00,0.00,0.00,6.57,14.40,2.36,0.16,2.15,2.31,1.23,0.00,0.25,0.69,1.07,1.89,2.14,0.69,0.91,23.30,1.02,0.26,0.79,1.20
2016-2-17,"Broccoli, raw","4.00 1 floweret",42.16,0.00,0.00,110.73,0.09,0.00,0.15,0.79,0.71,0.22,78.12,2222.70,110.61,0.00,0.97,125.98,58.28,0.06,0.91,26.04,0.26,81.84,391.84,3.10,40.92,0.51,8.23,2.98,0.00,2.11,0.46,0.00,0.01,,,0.05,0.05,,0.03,0.07,0.10,0.16,0.17,0.05,0.15,3.50,0.11,0.04,0.06,0.16
2016-2-17,"Grapefruit, fresh, pink or red","0.50 medium - 4"" diameter",53.76,0.00,0.00,112.72,0.06,0.00,0.04,0.26,0.34,0.07,16.64,1472.00,39.94,0.00,0.20,0.00,28.16,0.04,0.10,11.52,0.03,23.04,172.80,0.13,0.00,0.09,13.64,2.05,0.00,8.82,0.18,0.00,0.03,0.01,0.04,0.05,0.03,0.00,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.99,0.02,0.01,0.01,0.02
2016-2-18,"White bread, store bought","7.00 Serving (2 medium slice - 4 1/2"" x 4 1/4"" x 1/2"")",931.00,0.00,0.00,127.47,1.87,0.00,0.85,16.73,1.88,0.30,388.50,3.50,0.00,0.00,0.77,0.70,504.00,0.35,12.64,80.50,1.88,343.00,441.00,77.00,1715.00,2.59,172.97,9.45,130.10,19.85,11.66,0.00,2.10,0.58,4.99,5.61,2.44,0.09,0.54,0.60,0.98,1.87,0.83,0.47,1.33,30.98,0.82,0.34,0.81,1.15
2016-2-18,"Subway Steak Omelet Sandwich","1.00 each - 6"" sub",423.73,0.00,0.00,125.38,0.40,1.52,0.70,6.87,1.72,0.41,95.69,432.09,0.27,84.11,0.98,6.49,279.01,0.16,4.40,52.19,0.94,390.64,396.84,54.24,1220.61,3.29,41.79,3.14,29.59,6.64,15.31,252.37,4.97,0.24,2.46,2.73,5.56,0.27,0.42,0.74,1.23,2.12,1.89,0.67,1.19,28.85,1.10,0.31,0.95,1.40
2016-2-18,"Vitamin D3","1.00 softgel",2.00,,,,,,,,,,,,,400.00,,,,,,,,,,,,,0.01,,,,0.18,,,,,,,,,,,,,,,0.09,,,,
2016-2-18,"Polivit B","1.00 Pill",,,,,5.00,1.00,5.00,25.00,,2.00,,,,,,,5.00,,,,,,,,,,0.11,,,,0.00,,,,,,,,,,,,,,,0.04,,,,
2016-2-18,"Magnezijum","1.00 pill",1.00,,,,,,,,,,,,,,,,,,,200.00,,,,,,,0.20,,,,0.01,,,,,,,,,,,,,,,0.01,,,,
2016-2-18,"Kafa","1.00 full recipe",61.08,0.00,113.11,355.26,0.00,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,15.87,0.04,0.16,15.33,0.06,10.91,127.51,0.53,15.68,0.05,15.21,0.73,0.15,12.49,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.44,0.00,0.00,0.01,0.01
2016-2-18,"Nachos, with cheese","1.00 Serving (20 each - 1 nacho)",608.30,0.00,0.00,35.07,0.22,0.70,0.45,1.94,0.61,0.20,33.92,907.63,0.00,19.21,3.40,5.23,603.72,0.15,1.94,88.23,0.29,504.89,169.98,32.73,711.99,3.71,41.39,3.83,36.16,0.56,39.47,81.62,11.11,0.50,6.67,7.21,16.84,0.98,0.18,0.58,1.14,2.11,0.96,0.54,1.09,23.49,1.01,0.48,1.08,1.36
2016-2-18,"Shredded or pulled meat, with barbecue sauce","0.89 cup",373.41,0.00,0.00,123.87,0.70,0.63,0.35,5.98,0.69,0.47,13.01,104.11,1.79,48.56,0.83,0.94,25.56,0.06,1.39,32.76,0.10,257.18,522.31,46.15,485.45,3.10,21.18,0.67,0.15,16.66,17.40,91.41,7.58,0.02,1.40,1.52,6.06,0.03,0.40,1.23,1.44,2.46,2.76,0.81,1.23,31.09,1.41,0.39,1.07,1.67
2016-2-18,"Onion, white, yellow or red, raw","1.00 large slice - 1/4"" thick",15.20,0.00,0.00,33.86,0.02,0.00,0.01,0.04,0.05,0.05,7.22,0.76,2.81,0.00,0.01,0.15,8.74,0.01,0.08,3.80,0.05,11.02,55.48,0.19,1.52,0.06,3.55,0.55,0.00,1.61,0.04,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.42,0.01,0.01,0.01,0.01
2016-2-19,"Tomato raw (includes cherry, grape, roma)","5.00 cherry",15.30,0.00,0.00,80.34,0.03,0.00,0.02,0.50,0.08,0.07,12.75,708.05,11.65,0.00,0.46,6.72,8.50,0.05,0.23,9.35,0.10,20.40,201.45,0.00,4.25,0.14,3.31,1.02,0.00,2.24,0.17,0.00,0.03,0.00,0.07,0.07,0.02,0.00,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.75,0.02,0.01,0.01,0.02
2016-2-19,"Tuna, canned, light, oil pack, drained","0.65 can - each 5 oz net weight",158.40,0.00,0.00,47.86,0.03,1.76,0.10,9.92,0.30,0.09,4.00,61.60,0.00,215.20,0.70,35.20,10.40,0.06,1.11,24.80,0.01,248.80,165.60,60.80,332.80,0.72,0.00,0.00,0.00,0.00,6.57,14.40,2.36,0.16,2.15,2.31,1.23,0.00,0.25,0.69,1.07,1.89,2.14,0.69,0.91,23.30,1.02,0.26,0.79,1.20
2016-2-19,"Yogurt, plain, whole milk","0.88 container - each 4 oz",61.00,0.00,0.00,87.90,0.03,0.37,0.14,0.08,0.39,0.03,7.00,99.00,0.50,2.00,0.09,0.21,121.00,0.01,0.05,12.00,0.00,95.00,155.00,2.20,46.00,0.59,4.66,0.00,0.00,4.66,3.25,13.00,0.89,0.03,0.07,0.09,2.10,0.07,0.03,0.09,0.19,0.35,0.31,0.10,0.19,3.47,0.14,0.02,0.18,0.29
2016-2-19,"Broccoli, raw","4.00 1 floweret",42.16,0.00,0.00,110.73,0.09,0.00,0.15,0.79,0.71,0.22,78.12,2222.70,110.61,0.00,0.97,125.98,58.28,0.06,0.91,26.04,0.26,81.84,391.84,3.10,40.92,0.51,8.23,2.98,0.00,2.11,0.46,0.00,0.01,,,0.05,0.05,,0.03,0.07,0.10,0.16,0.17,0.05,0.15,3.50,0.11,0.04,0.06,0.16
2016-2-19,"Pasta, egg, raw (Tesco Egg Tagliatelle)","100.00 g",355.00,,,9.80,0.22,0.00,0.03,3.10,0.30,0.17,23.00,,0.00,0.00,0.00,,25.00,0.32,2.10,56.00,0.90,190.00,250.00,17.00,3.00,1.50,66.40,2.60,64.40,2.00,3.50,0.00,0.20,,,0.80,1.00,,,,,,,,,14.50,,,,
2016-2-19,"Subway Veggie Delite Sandwich, no mayo","1.50 each - 6"" sub",396.50,0.00,0.00,169.55,0.54,0.25,0.37,7.02,1.19,0.24,122.38,837.75,18.04,49.67,0.72,22.93,346.26,0.25,4.58,70.17,1.53,309.90,465.32,37.19,735.16,2.02,63.06,6.29,42.35,10.37,9.06,16.50,2.09,0.21,1.83,2.05,3.93,0.22,0.18,0.25,0.43,0.77,0.50,0.19,0.50,16.64,0.36,0.14,0.33,0.53
2016-2-19,"Yogurt, plain, whole milk","1.18 container - each 6 oz",122.00,0.00,0.00,175.80,0.06,0.74,0.28,0.15,0.78,0.06,14.00,198.00,1.00,4.00,0.17,0.42,242.00,0.02,0.10,24.00,0.01,190.00,310.00,4.40,92.00,1.18,9.32,0.00,0.00,9.32,6.50,26.00,1.79,0.05,0.13,0.18,4.19,0.14,0.06,0.17,0.38,0.70,0.62,0.20,0.38,6.94,0.28,0.04,0.35,0.57
2016-2-19,"McDonald's Hamburger","2.00 FDA Serving Size",692.17,0.00,0.00,126.72,1.04,2.70,0.52,10.79,0.78,0.44,174.97,134.71,3.62,11.20,0.80,9.01,279.83,0.29,7.08,59.52,0.88,317.96,557.04,51.37,1371.86,6.10,82.11,3.49,59.52,14.92,23.98,66.40,9.20,0.39,2.60,3.03,8.72,1.86,0.50,0.97,1.42,2.49,2.02,0.74,1.43,34.92,1.27,0.38,1.05,1.55
2016-2-19,"Vitamin D3","1.00 softgel",2.00,,,,,,,,,,,,,400.00,,,,,,,,,,,,,0.01,,,,0.18,,,,,,,,,,,,,,,0.09,,,,
2016-2-19,"Polivit B","1.00 Pill",,,,,5.00,1.00,5.00,25.00,,2.00,,,,,,,5.00,,,,,,,,,,0.11,,,,0.00,,,,,,,,,,,,,,,0.04,,,,
2016-2-19,"Magnezijum","1.00 pill",1.00,,,,,,,,,,,,,,,,,,,200.00,,,,,,,0.20,,,,0.01,,,,,,,,,,,,,,,0.01,,,,
2016-2-19,"Kafa","2.00 full recipe",122.17,0.00,226.22,710.52,0.00,0.00,0.01,2.03,0.01,0.00,0.00,0.00,0.00,0.00,0.17,0.14,31.73,0.08,0.33,30.65,0.12,21.81,255.02,1.06,31.35,0.10,30.42,1.45,0.29,24.99,0.04,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.04,0.01,0.00,0.02,0.88,0.01,0.00,0.01,0.02
2016-2-20,"Walnuts","0.67 Serving (6 tbsp, ground)",130.80,0.00,0.00,0.81,0.07,0.00,0.03,0.23,0.11,0.11,19.60,4.00,0.26,0.00,0.14,0.54,19.60,0.32,0.58,31.60,0.68,69.20,88.20,0.98,0.40,0.62,2.74,1.34,0.01,0.52,13.04,0.00,1.79,1.82,7.62,9.43,1.23,0.00,0.04,0.08,0.13,0.23,0.08,0.05,0.14,3.05,0.12,0.03,0.08,0.15
2016-2-20,"White bread, store bought","3.60 Serving (2 medium slice - 4 1/2"" x 4 1/4"" x 1/2"")",478.80,0.00,0.00,65.56,0.96,0.00,0.44,8.60,0.96,0.16,199.80,1.80,0.00,0.00,0.40,0.36,259.20,0.18,6.50,41.40,0.96,176.40,226.80,39.60,882.00,1.33,88.96,4.86,66.91,10.21,5.99,0.00,1.08,0.30,2.57,2.88,1.26,0.05,0.28,0.31,0.50,0.96,0.43,0.24,0.68,15.93,0.42,0.17,0.41,0.59
2016-2-20,"Vitamin D3","1.00 softgel",2.00,,,,,,,,,,,,,400.00,,,,,,,,,,,,,0.01,,,,0.18,,,,,,,,,,,,,,,0.09,,,,
2016-2-20,"Polivit B","1.00 Pill",,,,,5.00,1.00,5.00,25.00,,2.00,,,,,,,5.00,,,,,,,,,,0.11,,,,0.00,,,,,,,,,,,,,,,0.04,,,,
2016-2-20,"Magnezijum","1.00 pill",1.00,,,,,,,,,,,,,,,,,,,200.00,,,,,,,0.20,,,,0.01,,,,,,,,,,,,,,,0.01,,,,
2016-2-20,"Tomato raw (includes cherry, grape, roma)","5.00 cherry",15.30,0.00,0.00,80.34,0.03,0.00,0.02,0.50,0.08,0.07,12.75,708.05,11.65,0.00,0.46,6.72,8.50,0.05,0.23,9.35,0.10,20.40,201.45,0.00,4.25,0.14,3.31,1.02,0.00,2.24,0.17,0.00,0.03,0.00,0.07,0.07,0.02,0.00,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.75,0.02,0.01,0.01,0.02
2016-2-20,"Hummus (chickpea dip)","1.63 Serving (2 tbsp)",86.92,0.00,0.00,31.30,0.09,0.00,0.04,0.40,0.13,0.06,23.13,13.95,1.00,0.00,0.13,1.21,44.34,0.19,1.00,15.72,0.40,76.13,76.83,3.28,214.11,0.52,9.63,2.85,5.35,1.61,4.28,0.00,1.42,0.04,1.74,1.78,0.54,0.03,0.06,0.10,0.15,0.26,0.20,0.07,0.19,3.58,0.14,0.05,0.11,0.16
2016-2-20,"Red bell peppers, raw","0.68 small",15.50,0.00,0.00,46.11,0.03,0.00,0.04,0.49,0.16,0.15,23.00,1565.50,63.85,0.00,0.79,2.45,3.50,0.01,0.22,6.00,0.06,13.00,105.50,0.05,2.00,0.13,3.02,1.05,0.00,2.10,0.15,0.00,0.00,0.01,0.02,0.04,0.01,0.00,0.01,0.01,0.01,0.02,0.02,0.00,0.03,0.50,0.02,0.01,0.00,0.02
2016-2-20,"Corn, sweet, yellow, raw","450.00 g",387.00,,,342.23,0.70,,0.25,7.97,3.23,0.42,189.00,841.50,30.60,,0.32,1.35,9.00,0.24,2.34,166.50,0.73,400.50,1215.00,2.70,67.50,2.07,84.15,9.00,25.65,28.17,6.08,,1.94,0.06,2.11,2.19,1.46,,0.12,0.40,0.58,1.57,0.62,0.30,0.68,14.72,0.58,0.10,0.55,0.83
2016-2-20,"Yogurt, plain, whole milk","2.00 container - each 6 oz",207.52,0.00,0.00,299.03,0.10,1.26,0.48,0.26,1.32,0.11,23.81,336.79,1.70,6.80,0.30,0.71,411.63,0.03,0.17,40.82,0.01,323.18,527.30,7.48,156.49,2.01,15.85,0.00,0.00,15.85,11.06,44.23,3.04,0.09,0.22,0.31,7.13,0.24,0.11,0.29,0.64,1.19,1.06,0.35,0.64,11.80,0.48,0.07,0.60,0.98
2016-2-20,"Croissant, cheese","3.00 large",996.07,0.25,0.00,120.98,1.03,0.72,0.86,6.98,1.28,0.12,181.49,1831.79,0.38,81.85,1.77,5.03,140.74,0.18,5.29,37.17,0.76,267.10,290.74,45.66,277.12,1.49,100.47,3.61,78.60,17.59,56.79,213.67,14.94,0.29,2.42,2.71,34.76,2.15,0.33,0.50,0.93,1.71,1.00,0.46,1.07,20.99,0.75,0.26,0.83,1.09
2016-2-20,"Kafa","1.00 full recipe",61.08,0.00,113.11,355.26,0.00,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,15.87,0.04,0.16,15.33,0.06,10.91,127.51,0.53,15.68,0.05,15.21,0.73,0.15,12.49,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.44,0.00,0.00,0.01,0.01
2016-2-20,"Feta cheese","1.33 FDA Serving Size",105.60,0.00,0.00,22.09,0.06,0.68,0.34,0.40,0.39,0.17,12.80,168.80,0.00,6.40,0.07,0.72,197.20,0.01,0.26,7.60,0.01,134.80,24.80,6.00,366.80,1.15,1.64,0.00,0.00,1.64,8.51,35.60,1.85,0.10,0.13,0.24,5.98,0.42,0.03,0.16,0.32,0.56,0.49,0.15,0.27,5.68,0.25,0.08,0.27,0.43
2016-2-21,"Onion, white, yellow or red, raw","1.00 medium - 2 1/2"" diameter",44.00,0.00,0.00,98.02,0.05,0.00,0.03,0.13,0.14,0.13,20.90,2.20,8.14,0.00,0.02,0.44,25.30,0.04,0.23,11.00,0.14,31.90,160.60,0.55,4.40,0.19,10.27,1.61,0.00,4.66,0.11,0.00,0.01,0.00,0.01,0.02,0.05,0.00,0.00,0.02,0.02,0.03,0.04,0.00,0.03,1.21,0.02,0.02,0.02,0.02
2016-2-21,"White all-purpose flour, enriched","2.00 tbsp",56.87,0.00,0.00,1.86,0.12,0.00,0.08,0.92,0.07,0.01,20.00,0.00,0.00,0.00,0.01,0.05,2.34,0.02,0.72,3.44,0.11,16.87,16.72,5.30,0.31,0.11,11.92,0.47,11.41,0.04,0.15,0.00,0.01,0.00,0.06,0.06,0.02,0.00,0.03,0.04,0.06,0.11,0.04,0.03,0.08,1.61,0.04,0.02,0.05,0.06
2016-2-21,"Potato, flesh, raw","300.00 g",231.00,0.00,0.00,238.17,0.24,0.00,0.10,3.16,0.89,0.89,48.00,,56.55,0.00,0.03,5.70,36.00,0.32,2.34,69.00,0.46,171.00,1263.00,0.90,18.00,0.87,53.16,4.52,46.32,2.34,0.27,0.00,0.01,,,0.13,0.08,,0.08,0.14,0.25,0.37,0.38,0.10,0.28,6.06,0.23,0.10,0.23,0.35
2016-2-21,"Wax beans (yellow beans), cooked from frozen","3.33 cup, cut pieces",126.00,0.00,0.00,411.39,0.16,0.00,0.41,1.72,0.22,0.27,103.50,504.00,18.45,0.00,0.18,57.15,220.50,0.27,3.96,108.00,1.45,139.50,567.00,1.80,40.50,2.16,29.03,13.50,7.74,5.54,0.77,0.00,0.03,0.22,0.16,0.38,0.19,0.00,0.06,0.13,0.24,0.41,0.32,0.08,0.24,6.71,0.29,0.07,0.15,0.33
2016-2-21,"Bertolli Extra Virgin Olive Oil","0.67 tbsp",79.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,5.42,0.09,0.00,0.05,0.00,0.00,0.00,0.09,0.00,0.18,0.00,0.00,0.00,0.00,0.00,9.00,0.00,6.57,0.07,0.88,0.95,1.24,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-2-21,"Kafa","1.00 full recipe",61.08,0.00,113.11,355.26,0.00,0.00,0.01,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.07,15.87,0.04,0.16,15.33,0.06,10.91,127.51,0.53,15.68,0.05,15.21,0.73,0.15,12.49,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.44,0.00,0.00,0.01,0.01
2016-2-21,"Veggie burgers or soyburgers, unprepared","200.00 g",354.00,,,122.42,5.30,4.02,0.49,7.51,0.58,0.61,248.00,32.00,9.00,,0.46,8.40,272.00,0.40,4.82,112.00,1.90,412.00,666.00,45.20,1138.00,2.52,28.54,9.80,11.56,2.14,12.60,10.00,3.56,0.16,3.88,4.05,2.88,,0.52,0.93,1.56,2.80,2.01,0.58,1.77,31.40,1.21,0.32,1.30,1.78
2016-2-21,"Sunflower seeds, oil roasted, unsalted","0.50 Serving (400 each - without shell)",88.80,0.00,0.00,0.23,0.05,0.00,0.04,0.62,1.04,0.12,35.10,1.35,0.17,0.00,5.45,0.47,13.05,0.27,0.64,19.05,0.31,170.85,72.45,11.73,0.45,0.78,3.43,1.59,1.38,0.47,7.70,0.00,1.21,0.01,5.13,5.14,1.06,0.02,0.06,0.08,0.15,0.22,0.12,0.07,0.15,3.01,0.12,0.05,0.09,0.17
2016-2-21,"Vitamin D3","1.00 softgel",2.00,,,,,,,,,,,,,400.00,,,,,,,,,,,,,0.01,,,,0.18,,,,,,,,,,,,,,,0.09,,,,
2016-2-21,"Polivit B","1.00 Pill",,,,,5.00,1.00,5.00,25.00,,2.00,,,,,,,5.00,,,,,,,,,,0.11,,,,0.00,,,,,,,,,,,,,,,0.04,,,,
2016-2-21,"Magnezijum","1.00 pill",1.00,,,,,,,,,,,,,,,,,,,200.00,,,,,,,0.20,,,,0.01,,,,,,,,,,,,,,,0.01,,,,
