Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2011-4-19,"Bread, whole-wheat, commercially prepared","0.88 slice",70.56,,,10.92,0.11,,0.05,1.24,0.18,0.06,11.76,0.84,,,0.74,2.18,45.08,0.06,0.69,21.00,0.61,59.36,71.12,7.20,127.40,0.50,11.96,1.68,8.04,1.22,0.98,,0.17,0.04,0.40,0.45,0.20,0.01,,,,,,,,3.49,,,,
2011-4-19,"Spices, paprika","50.00 g",141.00,,,5.62,0.17,,0.62,5.03,1.26,1.07,24.50,24627.00,0.45,,14.55,40.15,114.50,0.36,10.57,89.00,0.80,157.00,1140.00,3.15,34.00,2.17,27.00,17.45,4.38,5.17,6.45,,0.85,0.23,3.66,3.88,1.07,,0.12,0.13,0.29,0.46,0.35,0.10,0.31,7.07,0.25,0.04,0.19,0.38
2011-4-20,"Cheese, mozzarella, part skim milk","150.00 g",381.00,,,80.67,0.03,1.23,0.45,0.16,0.12,0.11,13.50,721.50,,18.00,0.21,2.40,1173.00,0.04,0.33,34.50,0.01,694.50,126.00,21.60,928.50,4.14,4.16,,,1.69,23.88,96.00,6.77,0.21,0.50,0.71,15.17,,0.22,1.37,1.75,3.55,3.70,1.02,1.90,36.39,1.39,0.51,2.10,2.28
2011-4-20,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted","150.00 g",334.50,,,91.64,0.08,2.34,0.22,7.07,0.77,0.51,12.00,,,,0.61,2.25,9.00,0.09,3.23,25.50,0.01,238.50,315.00,41.10,51.00,6.46,,,,,18.66,129.00,7.96,0.18,0.50,0.72,7.08,,0.52,1.30,1.85,3.24,3.44,1.06,1.61,39.07,1.63,0.27,1.30,2.02
2011-4-20,"Sweet potato, cooked, baked in skin, flesh, without salt","1.00 large",162.00,,,136.40,0.19,,0.19,2.68,1.59,0.51,10.80,34592.40,35.28,,1.28,4.14,68.40,0.29,1.24,48.60,0.89,97.20,855.00,0.36,64.80,0.58,37.28,5.94,12.69,11.66,0.27,,0.00,0.01,0.16,0.17,0.09,,0.05,0.07,0.13,0.21,0.15,0.07,0.21,3.62,0.19,0.07,0.08,0.20
2011-4-20,"Pasta, homemade, made without egg, cooked","50.00 g",62.00,,,34.43,0.09,,0.07,0.67,0.08,0.01,21.50,,,,,,3.00,0.03,0.57,7.00,0.10,20.00,9.50,,37.00,0.19,12.56,,,,0.49,,0.09,0.03,0.23,0.25,0.07,,0.06,0.04,0.08,0.15,0.04,0.03,0.11,2.18,0.06,0.03,0.06,0.09
2011-4-20,"Pasta, homemade, made without egg, cooked","50.00 g",62.00,,,34.43,0.09,,0.07,0.67,0.08,0.01,21.50,,,,,,3.00,0.03,0.57,7.00,0.10,20.00,9.50,,37.00,0.19,12.56,,,,0.49,,0.09,0.03,0.23,0.25,0.07,,0.06,0.04,0.08,0.15,0.04,0.03,0.11,2.18,0.06,0.03,0.06,0.09
2011-4-20,"Beef, ground, 95% lean meat / 5% fat, patty, cooked, broiled","85.00 g",147.90,,,55.91,0.04,2.10,0.15,5.05,0.56,0.35,5.95,7.65,,1.70,0.10,1.11,5.95,0.08,2.41,18.70,0.01,175.10,294.95,18.28,55.25,5.47,,,,,5.78,74.80,2.31,0.04,0.20,0.28,2.53,0.15,0.23,0.73,0.99,1.74,1.85,0.57,0.87,22.35,0.86,0.11,0.69,1.10
2011-4-20,"Cabbage, cooked, boiled, drained, without salt","1.00 x 0.5 cup, shredded",17.25,,,69.43,0.05,,0.03,0.19,0.13,0.08,22.50,60.00,28.13,,0.11,81.53,36.00,0.01,0.13,11.25,0.15,24.75,147.00,0.45,6.00,0.15,4.13,1.43,0.62,2.09,0.04,,0.01,0.01,0.01,0.02,,,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.95,0.03,0.01,0.01,0.03
2011-4-20,"Orange juice, raw","1.00 cup",111.60,,,218.98,0.22,,0.07,0.99,0.47,0.10,74.40,496.00,124.00,,0.10,0.25,27.28,0.11,0.50,27.28,0.03,42.16,496.00,0.25,2.48,0.12,25.79,0.50,4.46,20.83,0.50,,0.09,0.03,0.07,0.10,0.06,,0.01,0.01,0.02,0.03,0.02,0.01,0.02,1.74,0.02,0.00,0.01,0.03
2011-4-20,"Soup, vegetarian vegetable, canned, prepared with equal volume water","1.00 cup",67.48,,,222.71,0.05,,0.05,0.90,0.34,0.06,9.64,3424.61,1.45,,1.40,5.06,24.10,0.13,1.06,7.23,0.45,33.74,207.26,4.34,814.58,0.46,11.78,0.72,7.28,3.78,1.90,,0.82,0.05,0.66,0.71,0.29,,,,,,,,,2.07,,,,
2011-4-21,"Pizza Hut 12"" Pepperoni Pizza, Hand-Tossed Crust","3.00 slice",806.40,,,119.09,0.92,1.96,0.78,11.60,1.34,0.44,,587.52,,,2.16,24.48,446.40,0.30,6.16,66.24,1.05,627.84,596.16,61.34,2306.88,4.84,90.86,4.90,65.81,10.57,32.77,74.88,11.57,0.55,5.23,5.86,14.86,,0.51,1.04,1.55,3.08,2.20,0.78,1.80,37.04,1.20,0.35,1.39,1.93
2011-4-21,"Milk, chocolate, lowfat, with added vitamin A and vitamin D","2.00 cup",310.00,,5.00,424.55,0.16,1.15,1.24,0.62,2.15,0.24,15.00,870.00,2.00,215.00,,0.50,645.00,0.14,1.15,65.00,0.15,480.00,860.00,9.50,325.00,2.15,49.30,0.50,,49.70,5.00,25.00,2.71,0.04,0.13,0.48,2.92,,0.17,0.45,0.78,1.54,1.29,0.39,0.78,17.30,0.78,0.25,0.67,1.01
2011-4-21,"Pie, cherry, commercially prepared","1.00 piece (1/6 of 8"" pie)",304.20,,,54.05,0.03,0.01,0.03,0.23,0.37,0.05,31.59,312.39,1.05,,0.89,8.89,14.04,0.05,0.56,9.36,0.16,33.93,94.77,1.40,287.82,0.21,46.57,0.94,28.91,16.72,12.87,,6.83,0.16,2.24,2.40,3.00,,0.04,0.06,0.12,0.20,0.14,0.05,0.12,2.34,0.09,0.03,0.09,0.14
2011-4-22,"Fish, fish sticks, frozen, prepared","10.00 stick (4"" x 1"" x 1/2"")",775.60,,,138.60,0.34,2.69,0.32,4.30,0.76,0.22,67.20,50.40,,2.80,19.26,13.16,44.80,0.17,2.35,70.00,0.51,534.80,518.00,43.96,1125.60,1.18,60.65,4.20,57.29,4.62,45.44,78.40,8.94,1.06,20.45,21.91,10.45,0.35,,0.64,1.20,2.39,2.23,0.83,1.32,30.83,1.04,0.34,0.80,1.40
2011-4-22,"Ketchup (Catsup)","100.00 g",101.00,,,68.51,0.01,,0.17,1.43,0.05,0.16,9.00,527.00,4.10,,1.46,3.00,15.00,0.09,0.35,13.00,0.08,26.00,281.00,0.70,907.00,0.17,27.40,0.30,5.83,21.27,0.10,,0.02,0.00,0.04,0.04,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.02,1.04,0.02,0.01,0.01,0.01
2011-4-22,"Salad dressing, mayonnaise, light","50.00 g",119.00,,,33.07,0.00,,,0.01,0.03,0.00,2.00,35.00,,,1.10,26.85,3.00,0.01,0.07,1.00,0.00,7.50,15.50,1.30,413.50,0.04,4.62,,1.58,1.78,11.11,8.00,2.51,0.76,5.70,6.50,1.72,0.03,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.19,0.01,0.00,0.01,0.01
2011-4-23,"Bread, whole-wheat, commercially prepared","7.00 slice",564.48,,,87.38,0.88,,0.37,9.94,1.45,0.48,94.08,6.72,,,5.96,17.47,360.64,0.51,5.53,168.00,4.87,474.88,568.96,57.57,1019.20,3.96,95.67,13.44,64.36,9.72,7.84,,1.39,0.31,3.24,3.57,1.62,0.04,,,,,,,,27.89,,,,
2011-4-23,"Leeks, (bulb and lower leaf-portion), raw","6.00 leek",325.74,,,443.22,0.32,,0.16,2.14,0.75,1.24,341.76,8901.78,64.08,,4.91,250.98,315.06,0.64,11.21,149.52,2.57,186.90,961.20,5.34,106.80,0.64,75.56,9.61,45.12,20.83,1.60,,0.02,0.53,0.36,0.89,0.21,,0.13,0.13,0.28,0.51,0.42,0.10,0.29,8.01,0.34,0.06,0.22,0.30
